id:ID,:LABEL,preflabel,synonyms:IGNORE,name,description
HGNC:8979,GENE,PIK3R1,AGM7|GRB1|IMD36|p85|p85-ALPHA,phosphoinositide-3-kinase regulatory subunit 1,"Phosphatidylinositol 3-kinase phosphorylates the inositol ring of phosphatidylinositol at the 3-prime position. The enzyme comprises a 110 kD catalytic subunit and a regulatory subunit of either 85, 55, or 50 kD. This gene encodes the 85 kD regulatory subunit. Phosphatidylinositol 3-kinase plays an important role in the metabolic actions of insulin, and a mutation in this gene has been associated with insulin resistance. Alternative splicing of this gene results in four transcript variants encoding different isoforms. [provided by RefSeq, Jun 2011]."
HGNC:10353,GENE,RPL4,L4,ribosomal protein L4,"Ribosomes, the organelles that catalyze protein synthesis, consist of a small 40S subunit and a large 60S subunit. Together these subunits are composed of 4 RNA species and approximately 80 structurally distinct proteins. This gene encodes a ribosomal protein that is a component of the 60S subunit. The protein belongs to the L4E family of ribosomal proteins. It is located in the cytoplasm. As is typical for genes encoding ribosomal proteins, there are multiple processed pseudogenes of this gene dispersed through the genome. [provided by RefSeq, Jul 2008]."
HGNC:10067,GENE,RNF4,RES4-26|SLX5|SNURF,ring finger protein 4,"The protein encoded by this gene contains a RING finger motif and acts as a transcription regulator. This protein has been shown to interact with, and inhibit the activity of, TRPS1, a transcription suppressor of GATA-mediated transcription. Transcription repressor ZNF278/PATZ is found to interact with this protein, and thus reduce the enhancement of androgen receptor-dependent transcription mediated by this protein. Studies of the mouse and rat counterparts suggested a role of this protein in spermatogenesis. A pseudogene of this gene is found on chromosome 1.[provided by RefSeq, Jul 2010]."
MGI:96067,GENE,Htt,HD|IT15|LOMARS,huntingtin,"Huntingtin is a disease gene linked to Huntington's disease, a neurodegenerative disorder characterized by loss of striatal neurons. This is thought to be caused by an expanded, unstable trinucleotide repeat in the huntingtin gene, which translates as a polyglutamine repeat in the protein product. A fairly broad range of trinucleotide repeats (9-35) has been identified in normal controls, and repeat numbers in excess of 40 have been described as pathological. The huntingtin locus is large, spanning 180 kb and consisting of 67 exons. The huntingtin gene is widely expressed and is required for normal development. It is expressed as 2 alternatively polyadenylated forms displaying different relative abundance in various fetal and adult tissues. The larger transcript is approximately 13.7 kb and is expressed predominantly in adult and fetal brain whereas the smaller transcript of approximately 10.3 kb is more widely expressed. The genetic defect leading to Huntington's disease may not necessarily eliminate transcription, but may confer a new property on the mRNA or alter the function of the protein. One candidate is the huntingtin-associated protein-1, highly expressed in brain, which has increased affinity for huntingtin protein with expanded polyglutamine repeats. This gene contains an upstream open reading frame in the 5' UTR that inhibits expression of the huntingtin gene product through translational repression. [provided by RefSeq, Jul 2016]."
dictyBase:DDB_G0272344,GENO,htt,HD|IT15|LOMARS,huntingtin,"Huntingtin is a disease gene linked to Huntington's disease, a neurodegenerative disorder characterized by loss of striatal neurons. This is thought to be caused by an expanded, unstable trinucleotide repeat in the huntingtin gene, which translates as a polyglutamine repeat in the protein product. A fairly broad range of trinucleotide repeats (9-35) has been identified in normal controls, and repeat numbers in excess of 40 have been described as pathological. The huntingtin locus is large, spanning 180 kb and consisting of 67 exons. The huntingtin gene is widely expressed and is required for normal development. It is expressed as 2 alternatively polyadenylated forms displaying different relative abundance in various fetal and adult tissues. The larger transcript is approximately 13.7 kb and is expressed predominantly in adult and fetal brain whereas the smaller transcript of approximately 10.3 kb is more widely expressed. The genetic defect leading to Huntington's disease may not necessarily eliminate transcription, but may confer a new property on the mRNA or alter the function of the protein. One candidate is the huntingtin-associated protein-1, highly expressed in brain, which has increased affinity for huntingtin protein with expanded polyglutamine repeats. This gene contains an upstream open reading frame in the 5' UTR that inhibits expression of the huntingtin gene product through translational repression. [provided by RefSeq, Jul 2016]."
HP:0001262,DISO,Excessive daytime somnolence,NA,Excessive daytime somnolence,NA
HGNC:4141,GENE,GAPDH,G3PD|GAPD|HEL-S-162eP,glyceraldehyde-3-phosphate dehydrogenase,"This gene encodes a member of the glyceraldehyde-3-phosphate dehydrogenase protein family. The encoded protein has been identified as a moonlighting protein based on its ability to perform mechanistically distinct functions. The product of this gene catalyzes an important energy-yielding step in carbohydrate metabolism, the reversible oxidative phosphorylation of glyceraldehyde-3-phosphate in the presence of inorganic phosphate and nicotinamide adenine dinucleotide (NAD). The encoded protein has additionally been identified to have uracil DNA glycosylase activity in the nucleus. Also, this protein contains a peptide that has antimicrobial activity against E. coli, P. aeruginosa, and C. albicans. Studies of a similar protein in mouse have assigned a variety of additional functions including nitrosylation of nuclear proteins, the regulation of mRNA stability, and acting as a transferrin receptor on the cell surface of macrophage. Many pseudogenes similar to this locus are present in the human genome. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Nov 2014]."
HGNC:144,GENE,ACTG1,ACT|ACTG|DFNA20|DFNA26|HEL-176,actin gamma 1,"Actins are highly conserved proteins that are involved in various types of cell motility and in maintenance of the cytoskeleton. Three main groups of actin isoforms have been identified in vertebrate animals: alpha, beta, and gamma. The alpha actins are found in muscle tissues and are a major constituent of the contractile apparatus. The beta and gamma actins co-exist in most cell types as components of the cytoskeleton and as mediators of internal cell motility. Actin gamma 1, encoded by this gene, is a cytoplasmic actin found in all cell types. Mutations in this gene are associated with DFNA20/26, a subtype of autosomal dominant non-syndromic sensorineural progressive hearing loss and also with Baraitser-Winter syndrome. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Jul 2017]."
HGNC:5241,GENE,HSPA8,HEL-33|HEL-S-72p|HSC54|HSC70|HSC71|HSP71|HSP73|HSPA10|LAP-1|LAP1|NIP71,heat shock protein family A (Hsp70) member 8,"This gene encodes a member of the heat shock protein 70 family, which contains both heat-inducible and constitutively expressed members. This protein belongs to the latter group, which are also referred to as heat-shock cognate proteins. It functions as a chaperone, and binds to nascent polypeptides to facilitate correct folding. It also functions as an ATPase in the disassembly of clathrin-coated vesicles during transport of membrane components through the cell. Alternatively spliced transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Aug 2011]."
HGNC:115,GENE,ACLY,ACL|ATPCL|CLATP,ATP citrate lyase,"ATP citrate lyase is the primary enzyme responsible for the synthesis of cytosolic acetyl-CoA in many tissues. The enzyme is a tetramer (relative molecular weight approximately 440,000) of apparently identical subunits. It catalyzes the formation of acetyl-CoA and oxaloacetate from citrate and CoA with a concomitant hydrolysis of ATP to ADP and phosphate. The product, acetyl-CoA, serves several important biosynthetic pathways, including lipogenesis and cholesterogenesis. In nervous tissue, ATP citrate-lyase may be involved in the biosynthesis of acetylcholine. Multiple transcript variants encoding distinct isoforms have been identified for this gene. [provided by RefSeq, Dec 2014]."
HGNC:4851,GENE,HTT,HD|IT15|LOMARS,huntingtin,"Huntingtin is a disease gene linked to Huntington's disease, a neurodegenerative disorder characterized by loss of striatal neurons. This is thought to be caused by an expanded, unstable trinucleotide repeat in the huntingtin gene, which translates as a polyglutamine repeat in the protein product. A fairly broad range of trinucleotide repeats (9-35) has been identified in normal controls, and repeat numbers in excess of 40 have been described as pathological. The huntingtin locus is large, spanning 180 kb and consisting of 67 exons. The huntingtin gene is widely expressed and is required for normal development. It is expressed as 2 alternatively polyadenylated forms displaying different relative abundance in various fetal and adult tissues. The larger transcript is approximately 13.7 kb and is expressed predominantly in adult and fetal brain whereas the smaller transcript of approximately 10.3 kb is more widely expressed. The genetic defect leading to Huntington's disease may not necessarily eliminate transcription, but may confer a new property on the mRNA or alter the function of the protein. One candidate is the huntingtin-associated protein-1, highly expressed in brain, which has increased affinity for huntingtin protein with expanded polyglutamine repeats. This gene contains an upstream open reading frame in the 5' UTR that inhibits expression of the huntingtin gene product through translational repression. [provided by RefSeq, Jul 2016]."
HGNC:6838,GENE,MAP1LC3A,ATG8E|LC3|LC3A|MAP1ALC3|MAP1BLC3,microtubule associated protein 1 light chain 3 alpha,"MAP1A and MAP1B are microtubule-associated proteins which mediate the physical interactions between microtubules and components of the cytoskeleton. MAP1A and MAP1B each consist of a heavy chain subunit and multiple light chain subunits. The protein encoded by this gene is one of the light chain subunits and can associate with either MAP1A or MAP1B. Two transcript variants encoding different isoforms have been found for this gene. The expression of variant 1 is suppressed in many tumor cell lines, suggesting that may be involved in carcinogenesis. [provided by RefSeq, Feb 2012]."
HGNC:12479,GENE,UBE2E3,UBCH9|UbcM2,ubiquitin conjugating enzyme E2 E3,"The modification of proteins with ubiquitin is an important cellular mechanism for targeting abnormal or short-lived proteins for degradation. Ubiquitination involves at least three classes of enzymes: ubiquitin-activating enzymes, or E1s, ubiquitin-conjugating enzymes, or E2s, and ubiquitin-protein ligases, or E3s. This gene encodes a member of the E2 ubiquitin-conjugating enzyme family. The encoded protein shares 100% sequence identity with the mouse and rat counterparts, which indicates that this enzyme is highly conserved in eukaryotes. Multiple alternatively spliced transcript variants encoding the same protein have been found for this gene. [provided by RefSeq, Jun 2013]."
HGNC:30892,GENE,HUWE1,ARF-BP1|HECTH9|HSPC272|Ib772|LASU1|MRXST|MULE|URE-B1|UREB1,"HECT, UBA and WWE domain containing E3 ubiquitin protein ligase 1","This gene encodes a protein containing a C-terminal HECT (E6AP type E3 ubiquitin protein ligase) domain that functions as an E3 ubiquitin ligase. The encoded protein is required for the ubiquitination and subsequent degradation of the anti-apoptotic protein Mcl1 (myeloid cell leukemia sequence 1 (BCL2-related)). This protein also ubiquitinates the p53 tumor suppressor, core histones, and DNA polymerase beta. Mutations in this gene are associated with Turner type X-linked syndromic cognitive disability. [provided by RefSeq, Aug 2013]."
HGNC:3293,GENE,EIF4E2,4E-LP|4EHP|EIF4EL3|IF4e|h4EHP,eukaryotic translation initiation factor 4E family member 2,NA
HGNC:12036,GENE,TRAF6,MGC:3310|RNF85,TNF receptor associated factor 6,"The protein encoded by this gene is a member of the TNF receptor associated factor (TRAF) protein family. TRAF proteins are associated with, and mediate signal transduction from, members of the TNF receptor superfamily. This protein has an amino terminal RING domain which is followed by four zinc-finger motifs, a central coiled-coil region and a highly conserved carboxyl terminal domain, known as the TRAF-C domain and mediates signaling from members of the TNF receptor superfamily as well as the Toll/IL-1 family. Signals from receptors such as CD40, TNFSF11/RANCE and IL-1 have been shown to be mediated by this protein. This protein also interacts with various protein kinases including IRAK1/IRAK, SRC and PKCzeta, which provides a link between distinct signaling pathways. This protein functions as a signal transducer in the NF-kappaB pathway that activates IkappaB kinase (IKK) in response to proinflammatory cytokines. The interaction of this protein with UBE2N/UBC13, and UBE2V1/UEV1A, which are ubiquitin conjugating enzymes catalyzing the formation of polyubiquitin chains, has been found to be required for IKK activation by this protein. This protein also interacts with the transforming growth factor (TGF) beta receptor complex and is required for Smad-independent activation of the JNK and p38 kinases. The protein encoded by this gene is a key molecule in antiviral innate and antigen-specific immune responses. [provided by RefSeq, Nov 2021]."
HGNC:3211,GENE,EEF1D,EF-1D|EF1D|FP1047,eukaryotic translation elongation factor 1 delta,"This gene encodes a subunit of the elongation factor-1 complex, which is responsible for the enzymatic delivery of aminoacyl tRNAs to the ribosome. This subunit, delta, functions as guanine nucleotide exchange factor. It is reported that following HIV-1 infection, this subunit interacts with HIV-1 Tat. This interaction results in repression of translation of host cell proteins and enhanced translation of viral proteins. Several alternatively spliced transcript variants encoding multiple isoforms have been found for this gene. Related pseudogenes have been defined on chromosomes 1, 6, 7, 9, 11, 13, 17, 19.[provided by RefSeq, Aug 2010]."
HGNC:12666,GENE,VCP,CDC48|FTDALS6|TERA|p97,valosin containing protein,"This gene encodes a member of the AAA ATPase family of proteins. The encoded protein plays a role in protein degradation, intracellular membrane fusion, DNA repair and replication, regulation of the cell cycle, and activation of the NF-kappa B pathway. This protein forms a homohexameric complex that interacts with a variety of cofactors and extracts ubiquitinated proteins from lipid membranes or protein complexes. Mutations in this gene cause IBMPFD (inclusion body myopathy with paget disease of bone and frontotemporal dementia), ALS (amyotrophic lateral sclerosis) and Charcot-Marie-Tooth disease in human patients. [provided by RefSeq, Aug 2017]."
HP:0002073,DISO,Progressive cerebellar ataxia,NA,Progressive cerebellar ataxia,NA
HGNC:12509,GENE,UBQLN2,ALS15|CHAP1|DSK2|HRIHFB2157|N4BP4|PLIC2,ubiquilin 2,"This gene encodes an ubiquitin-like protein (ubiquilin) that shares high degree of similarity with related products in yeast, rat and frog. Ubiquilins contain a N-terminal ubiquitin-like domain and a C-terminal ubiquitin-associated domain. They physically associate with both proteasomes and ubiquitin ligases; and thus, are thought to functionally link the ubiquitination machinery to the proteasome to affect in vivo protein degradation. This ubiquilin has also been shown to bind the ATPase domain of the Hsp70-like Stch protein. [provided by RefSeq, Oct 2009]."
HGNC:24500,GENE,VIRMA,KIAA1429|MSTP054|fSAP121,vir like m6A methyltransferase associated,NA
HGNC:5233,GENE,HSPA1B,HSP70-1|HSP70-1B|HSP70-2|HSP70.1|HSP70.2|HSP72|HSPA1|HSX70,heat shock protein family A (Hsp70) member 1B,"This intronless gene encodes a 70kDa heat shock protein which is a member of the heat shock protein 70 family. In conjuction with other heat shock proteins, this protein stabilizes existing proteins against aggregation and mediates the folding of newly translated proteins in the cytosol and in organelles. It is also involved in the ubiquitin-proteasome pathway through interaction with the AU-rich element RNA-binding protein 1. The gene is located in the major histocompatibility complex class III region, in a cluster with two closely related genes which encode similar proteins. [provided by RefSeq, Jul 2008]."
HGNC:3594,GENE,FASN,FAS|OA-519|SDR27X1,fatty acid synthase,"The enzyme encoded by this gene is a multifunctional protein. Its main function is to catalyze the synthesis of palmitate from acetyl-CoA and malonyl-CoA, in the presence of NADPH, into long-chain saturated fatty acids. In some cancer cell lines, this protein has been found to be fused with estrogen receptor-alpha (ER-alpha), in which the N-terminus of FAS is fused in-frame with the C-terminus of ER-alpha. [provided by RefSeq, Jul 2008]."
HGNC:20738,GENE,SYVN1,DER3|HRD1,synoviolin 1,"This gene encodes a protein involved in endoplasmic reticulum (ER)-associated degradation. The encoded protein removes unfolded proteins, accumulated during ER stress, by retrograde transport to the cytosol from the ER. This protein also uses the ubiquitin-proteasome system for additional degradation of unfolded proteins. Sequence analysis identified two transcript variants that encode different isoforms. [provided by RefSeq, May 2011]."
HGNC:26027,GENE,COMMD4,NA,COMM domain containing 4,NA
UBERON:0001890,ANAT,forebrain,NA,forebrain,NA
HGNC:11998,GENE,TP53,BCC7|BMFS5|LFS1|P53|TRP53,tumor protein p53,"This gene encodes a tumor suppressor protein containing transcriptional activation, DNA binding, and oligomerization domains. The encoded protein responds to diverse cellular stresses to regulate expression of target genes, thereby inducing cell cycle arrest, apoptosis, senescence, DNA repair, or changes in metabolism. Mutations in this gene are associated with a variety of human cancers, including hereditary cancers such as Li-Fraumeni syndrome. Alternative splicing of this gene and the use of alternate promoters result in multiple transcript variants and isoforms. Additional isoforms have also been shown to result from the use of alternate translation initiation codons from identical transcript variants (PMIDs: 12032546, 20937277). [provided by RefSeq, Dec 2016]."
MONDO:0007739,DISO,Huntington disease,NA,Huntington disease,NA
HP:0002169,DISO,Clonus,NA,Clonus,NA
HGNC:10899,GENE,SKP1,EMC19|OCP-II|OCP2|SKP1A|TCEB1L|p19A,S-phase kinase associated protein 1,"This gene encodes a component of SCF complexes, which are composed of this protein, cullin 1, a ring-box protein, and one member of the F-box family of proteins. This protein binds directly to the F-box motif found in F-box proteins. SCF complexes are involved in the regulated ubiquitination of specific protein substrates, which targets them for degradation by the proteosome. Specific F-box proteins recognize different target protein(s), and many specific SCF substrates have been identified including regulators of cell cycle progression and development. Studies have also characterized the protein as an RNA polymerase II elongation factor. Alternative splicing of this gene results in two transcript variants. A related pseudogene has been identified on chromosome 7. [provided by RefSeq, Jul 2008]."
HGNC:15476,GENE,DYNLL1,DLC1|DLC8|DNCL1|DNCLC1|LC8|LC8a|PIN|hdlc1,dynein light chain LC8-type 1,"Cytoplasmic dyneins are large enzyme complexes with a molecular mass of about 1,200 kD. They contain two force-producing heads formed primarily from dynein heavy chains, and stalks linking the heads to a basal domain, which contains a varying number of accessory intermediate chains. The complex is involved in intracellular transport and motility. The protein described in this record is a light chain and exists as part of this complex but also physically interacts with and inhibits the activity of neuronal nitric oxide synthase. Binding of this protein destabilizes the neuronal nitric oxide synthase dimer, a conformation necessary for activity, and it may regulate numerous biologic processes through its effects on nitric oxide synthase activity. Alternate transcriptional splice variants have been characterized. [provided by RefSeq, Jul 2008]."
HGNC:15630,GENE,TCERG1,CA150|TAF2S|Urn1,transcription elongation regulator 1,"This gene encodes a nuclear protein that regulates transcriptional elongation and pre-mRNA splicing. The encoded protein interacts with the hyperphosphorylated C-terminal domain of RNA polymerase II via multiple FF domains, and with the pre-mRNA splicing factor SF1 via a WW domain. Alternative splicing results in multiple transcripts variants encoding different isoforms. [provided by RefSeq, Jul 2008]."
HGNC:11473,GENE,MED21,SRB7|SURB7|hSrb7,mediator complex subunit 21,"This gene encodes a member of the mediator complex subunit 21 family. The encoded protein interacts with the human RNA polymerase II holoenzyme and is involved in transcriptional regulation of RNA polymerase II transcribed genes. A pseudogene of this gene is located on chromosome 8. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Nov 2012]."
HGNC:938,GENE,BAG2,BAG-2|dJ417I1.2,BAG cochaperone 2,"BAG proteins compete with Hip for binding to the Hsc70/Hsp70 ATPase domain and promote substrate release. All the BAG proteins have an approximately 45-amino acid BAG domain near the C terminus but differ markedly in their N-terminal regions. The predicted BAG2 protein contains 211 amino acids. The BAG domains of BAG1, BAG2, and BAG3 interact specifically with the Hsc70 ATPase domain in vitro and in mammalian cells. All 3 proteins bind with high affinity to the ATPase domain of Hsc70 and inhibit its chaperone activity in a Hip-repressible manner. [provided by RefSeq, Jul 2008]."
HGNC:8607,GENE,PRKN,AR-JP|LPRS2|PARK2|PDJ,parkin RBR E3 ubiquitin protein ligase,"The precise function of this gene is unknown; however, the encoded protein is a component of a multiprotein E3 ubiquitin ligase complex that mediates the targeting of substrate proteins for proteasomal degradation. Mutations in this gene are known to cause Parkinson disease and autosomal recessive juvenile Parkinson disease. Alternative splicing of this gene produces multiple transcript variants encoding distinct isoforms. Additional splice variants of this gene have been described but currently lack transcript support. [provided by RefSeq, Jul 2008]."
HGNC:3236,GENE,EGFR,ERBB|ERBB1|ERRP|HER1|NISBD2|PIG61|mENA,epidermal growth factor receptor,"The protein encoded by this gene is a transmembrane glycoprotein that is a member of the protein kinase superfamily. This protein is a receptor for members of the epidermal growth factor family. EGFR is a cell surface protein that binds to epidermal growth factor, thus inducing receptor dimerization and tyrosine autophosphorylation leading to cell proliferation. Mutations in this gene are associated with lung cancer. EGFR is a component of the cytokine storm which contributes to a severe form of Coronavirus Disease 2019 (COVID-19) resulting from infection with severe acute respiratory syndrome coronavirus-2 (SARS-CoV-2). [provided by RefSeq, Jul 2020]."
HGNC:15577,GENE,EPPK1,EPIPL|EPIPL1,epiplakin 1,"The protein encoded by this gene belongs to the plakin family of proteins, which play a role in the organization of cytoskeletal architecture. This family member is composed of several highly homologous plakin repeats. It may function to maintain the integrity of keratin intermediate filament networks in epithelial cells. Studies of the orthologous mouse protein suggest that it accelerates keratinocyte migration during wound healing. [provided by RefSeq, Oct 2013]."
HGNC:12692,GENE,VIM,NA,vimentin,"This gene encodes a type III intermediate filament protein. Intermediate filaments, along with microtubules and actin microfilaments, make up the cytoskeleton. The encoded protein is responsible for maintaining cell shape and integrity of the cytoplasm, and stabilizing cytoskeletal interactions. This protein is involved in neuritogenesis and cholesterol transport and functions as an organizer of a number of other critical proteins involved in cell attachment, migration, and signaling. Bacterial and viral pathogens have been shown to attach to this protein on the host cell surface. Mutations in this gene are associated with congenital cataracts in human patients. [provided by RefSeq, Aug 2017]."
HGNC:6400,GENE,KPNB1,IMB1|IPO1|IPOB|Impnb|NTF97,karyopherin subunit beta 1,"Nucleocytoplasmic transport, a signal- and energy-dependent process, takes place through nuclear pore complexes embedded in the nuclear envelope. The import of proteins containing a nuclear localization signal (NLS) requires the NLS import receptor, a heterodimer of importin alpha and beta subunits also known as karyopherins. Importin alpha binds the NLS-containing cargo in the cytoplasm and importin beta docks the complex at the cytoplasmic side of the nuclear pore complex. In the presence of nucleoside triphosphates and the small GTP binding protein Ran, the complex moves into the nuclear pore complex and the importin subunits dissociate. Importin alpha enters the nucleoplasm with its passenger protein and importin beta remains at the pore. Interactions between importin beta and the FG repeats of nucleoporins are essential in translocation through the pore complex. The protein encoded by this gene is a member of the importin beta family. Two transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Feb 2013]."
HGNC:2239,GENE,COPS3,CSN3|SGN3,COP9 signalosome subunit 3,"The protein encoded by this gene possesses kinase activity that phosphorylates regulators involved in signal transduction. It phosphorylates I kappa-Balpha, p105, and c-Jun. It acts as a docking site for complex-mediated phosphorylation. The gene is located within the Smith-Magenis syndrome region on chromosome 17. Several transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Oct 2015]."
HGNC:18412,GENE,ZDHHC17,DHHC-17|DHHC17|HIP14|HIP3|HSPC294|HYPH,zinc finger DHHC-type palmitoyltransferase 17,NA
HGNC:18417,GENE,H2AP,CXorf27|HIP17|HYPM,H2A.P histone,"This gene encodes a protein shown to interact with huntingtin, which contains an expanded polyglutamine tract in individuals with Huntington's disease (PMID: 9700202). [provided by RefSeq, Aug 2011]."
HGNC:28328,GENE,ZFC3H1,CCDC131|CSRC2|PSRC2,zinc finger C3H1-type containing,NA
HGNC:5001,GENE,HMG20A,HMGX1|HMGXB1,high mobility group 20A,NA
MONDO:0005148,DISO,type 2 diabetes mellitus,NA,type 2 diabetes mellitus,NA
HGNC:25730,GENE,TTC23,HCC-8,tetratricopeptide repeat domain 23,NA
UBERON:0007023,ANAT,adult organism,NA,adult organism,NA
HGNC:8554,GENE,PABPC1,PAB1|PABP|PABP1|PABPC2|PABPL1,poly(A) binding protein cytoplasmic 1,"This gene encodes a poly(A) binding protein. The protein shuttles between the nucleus and cytoplasm and binds to the 3' poly(A) tail of eukaryotic messenger RNAs via RNA-recognition motifs. The binding of this protein to poly(A) promotes ribosome recruitment and translation initiation; it is also required for poly(A) shortening which is the first step in mRNA decay. The gene is part of a small gene family including three protein-coding genes and several pseudogenes.[provided by RefSeq, Aug 2010]."
HGNC:5232,GENE,HSPA1A,HEL-S-103|HSP70-1|HSP70-1A|HSP70-2|HSP70.1|HSP70.2|HSP70I|HSP72|HSPA1,heat shock protein family A (Hsp70) member 1A,"This intronless gene encodes a 70kDa heat shock protein which is a member of the heat shock protein 70 family. In conjuction with other heat shock proteins, this protein stabilizes existing proteins against aggregation and mediates the folding of newly translated proteins in the cytosol and in organelles. It is also involved in the ubiquitin-proteasome pathway through interaction with the AU-rich element RNA-binding protein 1. The gene is located in the major histocompatibility complex class III region, in a cluster with two closely related genes which encode similar proteins. [provided by RefSeq, Jul 2008]."
